iter	Passed	Remaining
0	9	4632
1	13	3475
2	19	3188
3	24	3022
4	41	4072
5	78	6483
6	116	8187
7	139	8580
8	150	8215
9	157	7710
10	161	7175
11	164	6677
12	166	6255
13	168	5863
14	171	5558
15	174	5273
16	175	4997
17	178	4774
18	180	4567
19	183	4392
20	185	4220
21	187	4072
22	189	3930
23	191	3795
24	193	3670
25	195	3556
26	196	3448
27	198	3349
28	200	3254
29	202	3173
30	204	3087
31	206	3012
32	207	2941
33	209	2874
34	212	2825
35	214	2769
36	216	2713
37	218	2662
38	220	2608
39	222	2558
40	224	2508
41	225	2463
42	227	2420
43	229	2382
44	233	2356
45	235	2323
46	237	2287
47	239	2256
48	241	2223
49	243	2193
50	245	2163
51	248	2138
52	250	2110
53	252	2083
54	254	2056
55	256	2029
56	257	2003
57	259	1979
58	262	1961
59	264	1939
60	266	1918
61	268	1900
62	272	1889
63	277	1890
64	282	1892
65	285	1876
66	287	1859
67	289	1839
68	291	1820
69	293	1801
70	296	1789
71	297	1771
72	300	1757
73	302	1739
74	303	1721
75	305	1705
76	307	1691
77	309	1676
78	312	1667
79	314	1653
80	316	1639
81	319	1626
82	320	1612
83	322	1597
84	324	1583
85	326	1569
86	328	1557
87	330	1548
88	337	1560
89	340	1550
90	342	1540
91	345	1532
92	347	1520
93	349	1510
94	351	1498
95	352	1485
96	354	1472
97	356	1460
98	360	1458
99	363	1452
100	364	1441
101	366	1430
102	368	1419
103	370	1409
104	372	1399
105	374	1390
106	376	1381
107	378	1374
108	380	1366
109	382	1357
110	384	1348
111	386	1338
112	388	1329
113	389	1320
114	391	1310
115	394	1304
116	395	1295
117	397	1288
118	400	1281
119	401	1272
120	403	1263
121	405	1256
122	407	1249
123	409	1242
124	412	1236
125	414	1229
126	416	1221
127	417	1213
128	419	1205
129	421	1199
130	423	1192
131	424	1184
132	426	1177
133	428	1170
134	431	1167
135	433	1160
136	435	1154
137	438	1150
138	441	1145
139	443	1139
140	445	1133
141	448	1130
142	450	1123
143	451	1117
144	453	1111
145	455	1105
146	457	1098
147	459	1092
148	461	1086
149	463	1080
150	464	1074
151	466	1068
152	468	1061
153	470	1056
154	472	1050
155	474	1046
156	476	1041
157	478	1036
158	480	1030
159	482	1024
160	483	1018
161	485	1012
162	486	1006
163	488	1000
164	490	995
165	491	989
166	493	983
167	495	978
168	496	972
169	498	967
170	500	962
171	502	957
172	504	953
173	506	948
174	508	945
175	510	940
176	512	935
177	514	931
178	516	926
179	518	922
180	520	917
181	522	912
182	524	909
183	526	904
184	528	899
185	529	894
186	531	890
187	533	885
188	535	881
189	537	877
190	539	873
191	541	869
192	544	865
193	545	860
194	547	856
195	548	851
196	550	846
197	552	842
198	554	838
199	555	833
200	557	829
201	559	825
202	561	821
203	563	817
204	564	813
205	566	808
206	568	804
207	570	801
208	573	798
209	575	794
210	577	791
211	579	786
212	580	782
213	582	778
214	584	775
215	586	771
216	588	766
217	589	762
218	591	758
219	593	755
220	595	751
221	597	747
222	599	744
223	601	741
224	604	738
225	606	735
226	608	732
227	610	728
228	612	724
229	613	720
230	615	716
231	617	713
232	619	710
233	621	706
234	623	702
235	625	699
236	626	695
237	628	691
238	629	687
239	631	684
240	634	681
241	636	678
242	638	674
243	640	671
244	642	668
245	644	665
246	646	661
247	647	658
248	649	654
249	651	651
250	653	647
251	654	644
252	656	640
253	658	637
254	659	633
255	661	630
256	663	627
257	665	623
258	667	620
259	669	617
260	671	614
261	673	611
262	675	608
263	676	604
264	678	601
265	679	598
266	681	594
267	683	591
268	684	588
269	686	584
270	688	581
271	690	579
272	692	575
273	694	572
274	695	569
275	698	566
276	700	563
277	702	560
278	704	557
279	706	554
280	708	552
281	710	549
282	712	546
283	713	542
284	716	540
285	717	537
286	719	534
287	721	530
288	723	527
289	724	524
290	726	521
291	728	518
292	730	515
293	732	513
294	734	510
295	736	507
296	738	504
297	740	501
298	742	498
299	743	495
300	745	492
301	746	489
302	748	486
303	750	483
304	752	480
305	753	477
306	755	474
307	757	472
308	759	469
309	760	466
310	762	463
311	764	460
312	766	457
313	768	455
314	770	452
315	772	449
316	774	446
317	775	443
318	777	440
319	779	438
320	780	435
321	782	432
322	783	429
323	785	426
324	787	423
325	788	421
326	790	418
327	792	415
328	793	412
329	795	409
330	797	407
331	800	404
332	802	402
333	803	399
334	805	396
335	808	394
336	809	391
337	811	388
338	813	386
339	814	383
340	816	380
341	818	378
342	820	375
343	822	373
344	824	370
345	826	367
346	828	365
347	831	363
348	833	360
349	835	358
350	837	355
351	839	353
352	841	350
353	843	347
354	844	345
355	846	342
356	848	339
357	850	337
358	851	334
359	853	331
360	855	329
361	857	326
362	858	324
363	860	321
364	862	319
365	864	316
366	867	314
367	868	311
368	870	309
369	872	306
370	873	303
371	875	301
372	877	298
373	878	296
374	880	293
375	882	291
376	884	288
377	886	285
378	887	283
379	889	280
380	890	278
381	892	275
382	894	273
383	896	270
384	898	268
385	900	266
386	902	263
387	904	261
388	906	258
389	907	256
390	909	253
391	911	250
392	912	248
393	914	245
394	916	243
395	917	241
396	919	238
397	921	236
398	923	233
399	925	231
400	927	228
401	929	226
402	931	224
403	933	221
404	935	219
405	937	217
406	938	214
407	940	212
408	942	209
409	943	207
410	945	204
411	947	202
412	948	199
413	950	197
414	952	195
415	953	192
416	955	190
417	957	187
418	958	185
419	960	182
420	962	180
421	963	178
422	965	175
423	967	173
424	968	170
425	970	168
426	972	166
427	973	163
428	975	161
429	977	159
430	978	156
431	980	154
432	981	151
433	983	149
434	984	147
435	986	144
436	988	142
437	989	140
